"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.006477333E0,5.987548828E-4,6.269113312E0,1.004381378E1,1.183976255E1
1.016430333E0,7.798782349E-2,6.246660004E0,9.892628174E0,1.170003998E1
1.026382333E0,1.305285645E-1,6.279441833E0,9.703721008E0,1.155900640E1
1.036334333E0,1.234931946E-1,6.319857788E0,9.319020996E0,1.126055085E1
1.046286333E0,9.026229858E-2,6.309828644E0,8.724906464E0,1.076782604E1
1.056239333E0,8.098159790E-2,6.300847321E0,8.132737885E0,1.028827782E1
1.066191333E0,5.433700562E-2,6.277645569E0,7.731871490E0,9.959599547E0
1.076143333E0,9.550140381E-2,6.190826111E0,7.676187286E0,9.862012964E0
1.086096333E0,5.523513794E-2,5.969137115E0,8.015232239E0,9.993877959E0
1.096048333E0,-1.206491089E-1,5.600902863E0,8.528365173E0,1.020380721E1
1.106000333E0,-3.245251465E-1,5.125042419E0,8.684340820E0,1.008906100E1
1.115952333E0,-4.379891968E-1,4.606670380E0,8.361761627E0,9.556793606E0
1.125905333E0,-2.468367004E-1,4.165687408E0,8.293353882E0,9.284050762E0
1.135857333E0,1.010398865E-1,3.823648682E0,8.347541199E0,9.182153471E0
1.145809333E0,2.616558838E-1,3.586092682E0,8.381819916E0,9.120495032E0
1.155762333E0,3.167413330E-1,3.481759644E0,8.491392059E0,9.182957824E0
1.165714333E0,1.429527283E-1,3.518732758E0,8.742120667E0,9.424785910E0
1.175666333E0,-3.330574036E-1,3.496578827E0,9.146280212E0,9.797521750E0
1.185618333E0,-8.321195984E-1,3.314257965E0,9.716594238E0,1.029994818E1
1.195571333E0,-1.302890625E0,3.083138580E0,1.038705002E1,1.091302321E1
1.205523333E0,-1.658401337E0,2.848726044E0,1.097532669E1,1.145963922E1
1.215475333E0,-1.813778229E0,2.657423859E0,1.131646729E1,1.176495324E1
1.225428333E0,-1.712438965E0,2.674937439E0,1.147019760E1,1.190181375E1
1.235380333E0,-1.445094910E0,2.957549744E0,1.148501678E1,1.194742693E1
1.245332333E0,-1.161734161E0,3.459006958E0,1.129146927E1,1.186640778E1
1.255285333E0,-8.641529846E-1,4.039948883E0,1.102816681E1,1.177660437E1
1.265237333E0,-5.870791626E-1,4.611310730E0,1.071546707E1,1.168032890E1
1.275189458E0,-5.331912231E-1,5.026547241E0,1.007150620E1,1.126879351E1
1.285141458E0,-6.131250000E-1,5.179379425E0,9.172176361E0,1.055133701E1
1.295094458E0,-8.291258240E-1,5.303171997E0,8.130193176E0,9.742234033E0
1.305046458E0,-1.187480621E0,5.540278931E0,7.363637238E0,9.291283777E0
1.314998458E0,-1.477876740E0,5.681884460E0,6.912625122E0,9.069306300E0
1.324951458E0,-1.700912933E0,5.531896362E0,6.626120911E0,8.797753150E0
1.334903458E0,-1.821711731E0,5.247936859E0,6.556515656E0,8.593449392E0
1.344855458E0,-1.872755585E0,5.115612030E0,6.651118927E0,8.597329987E0
1.354808458E0,-1.965562592E0,5.098098450E0,6.845265198E0,8.758521549E0
1.364760458E0,-2.026785278E0,5.085524597E0,7.093000031E0,8.959970336E0
1.374712458E0,-1.956431580E0,5.103487244E0,7.348368988E0,9.158151197E0
1.384664458E0,-1.934726715E0,5.123395844E0,7.648644562E0,9.407131128E0
1.394617458E0,-1.999242554E0,5.046755219E0,7.966134338E0,9.639813552E0
1.404569458E0,-2.129322052E0,4.824617157E0,8.178243256E0,9.731115345E0
1.414521458E0,-2.179767151E0,4.531227264E0,8.266260223E0,9.675456756E0
1.424474458E0,-2.207309875E0,4.286186829E0,8.379275208E0,9.667257492E0
1.434426458E0,-2.182012482E0,4.155059509E0,8.540639648E0,9.745164114E0
