"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.318520833E0	2.215393066E-2	9.231752472E0	6.565347290E-1	9.255094940E0
1.328492833E0	-1.046324158E-1	9.099128265E0	4.439767456E-1	9.110554236E0
1.338464833E0	-2.375559998E-1	8.942853241E0	8.921447754E-2	8.946452714E0
1.348436833E0	-2.915936279E-1	8.872649231E0	-6.167175293E-2	8.877653667E0
1.358407833E0	-2.088157654E-1	8.858428802E0	7.214996338E-2	8.861183357E0
1.368379833E0	-1.293310547E-1	8.818312225E0	3.347039795E-1	8.825609542E0
1.378351833E0	-2.122586060E-1	8.697513428E0	5.767506409E-1	8.719199209E0
1.388323833E0	-3.637435913E-1	8.509953461E0	5.739065552E-1	8.537036139E0
1.398294833E0	-5.471122742E-1	8.283025360E0	4.035607910E-1	8.310878550E0
1.408266833E0	-5.733078003E-1	8.181386719E0	3.655398560E-1	8.209591333E0
1.418238833E0	-5.942642212E-1	8.207881622E0	5.388793945E-1	8.246991069E0
1.428209833E0	-6.894662476E-1	8.204139404E0	6.204597473E-1	8.256405838E0
1.438181833E0	-6.671626282E-1	8.200397186E0	5.462141418E-1	8.245603063E0
1.448153833E0	-5.730084229E-1	8.325536957E0	4.715194702E-1	8.358542629E0
1.458125833E0	-4.812492371E-1	8.485703888E0	1.785786438E-1	8.501215303E0
1.468096833E0	-3.427871704E-1	8.653055878E0	-1.450483704E-1	8.661057562E0
1.478068833E0	-2.257305908E-1	8.800648956E0	-4.478686523E-1	8.814928399E0
1.488040833E0	-2.059716797E-1	8.904682617E0	-6.731501770E-1	8.932464834E0
1.498012833E0	-2.101629639E-1	8.987310791E0	-7.240443420E-1	9.018878197E0
1.507983833E0	-2.695893860E-1	9.095086670E0	-7.108717346E-1	9.126807689E0
1.517955833E0	-4.608915710E-1	9.178163910E0	-6.580316162E-1	9.213257806E0
1.527927833E0	-7.200027466E-1	9.164841614E0	-5.902226257E-1	9.212007843E0
1.537899833E0	-9.186396790E-1	9.130113831E0	-3.855981445E-1	9.184310717E0
1.547870833E0	-9.568103027E-1	9.174571381E0	-5.478607178E-2	9.224491720E0
1.557842833E0	-7.999365234E-1	9.341174927E0	2.980302429E-1	9.380099652E0
1.567814833E0	-6.472540283E-1	9.604028320E0	3.230282593E-1	9.631232788E0
1.577785833E0	-4.989125061E-1	9.861043854E0	1.701960754E-1	9.875123608E0
1.587757833E0	-3.210823059E-1	1.007569748E1	3.323089600E-2	1.008086692E1
1.597729833E0	-3.159928894E-1	1.019110748E1	-4.909790039E-2	1.019612347E1
1.607701833E0	-4.308041382E-1	1.016431320E1	-5.388793945E-3	1.017344013E1
1.617672833E0	-5.203179932E-1	1.010413834E1	1.666035461E-1	1.011889812E1
1.627644833E0	-6.614744568E-1	1.002600082E1	3.312611389E-1	1.005325693E1
1.637616833E0	-7.186555481E-1	9.974657593E0	4.620890808E-1	1.001118306E1
1.647588833E0	-6.920109558E-1	1.001252884E1	6.206094360E-1	1.005558397E1
1.657559833E0	-6.417155457E-1	1.007914032E1	6.318360901E-1	1.011929273E1
1.667531833E0	-5.845344543E-1	1.015188904E1	4.273612976E-1	1.017767995E1
1.677503833E0	-5.971083069E-1	1.029035110E1	2.095642090E-2	1.030768176E1
1.687475833E0	-6.891668701E-1	1.044617706E1	-3.052153015E-1	1.047333388E1
1.697446833E0	-7.216493225E-1	1.066322571E1	-3.510200500E-1	1.069337998E1
1.707418833E0	-6.839277649E-1	1.086036575E1	9.400451660E-2	1.088228553E1
1.717390833E0	-5.649252319E-1	1.097921860E1	7.914042664E-1	1.102219135E1
1.727361833E0	-4.427792358E-1	1.108923981E1	1.387165375E0	1.118443207E1
1.737333833E0	-2.174977112E-1	1.116198853E1	1.770368500E0	1.130360552E1
1.747305833E0	1.196012878E-1	1.118968094E1	2.011217651E0	1.136962006E1
1.757277833E0	6.384223938E-1	1.129730713E1	1.997146912E0	1.149022747E1
1.767248833E0	9.963281250E-1	1.136646332E1	1.562899933E0	1.151658866E1
1.777220833E0	1.248403931E0	1.132604736E1	9.219328308E-1	1.143187742E1
1.787192833E0	1.428778839E0	1.127919479E1	-9.744735718E-2	1.136974671E1
1.797164833E0	1.301543427E0	1.115495316E1	-1.369801483E0	1.131385661E1
1.807135833E0	8.045768738E-1	1.101394638E1	-2.669099579E0	1.136126980E1
1.817107833E0	1.802252197E-1	1.090452393E1	-3.611539764E0	1.148844387E1
1.827079833E0	-1.216969299E-1	1.072819061E1	-3.401077423E0	1.125505271E1
1.837051833E0	-6.301895142E-2	1.053030212E1	-1.903292084E0	1.070110999E1
1.847022833E0	2.574645996E-1	1.016266663E1	2.619552612E-1	1.016930192E1
1.856994833E0	4.637356567E-1	9.757608948E0	2.147135010E0	1.000180843E1
1.866966833E0	5.375321960E-1	9.527687073E0	3.459006958E0	1.015039364E1
1.876938833E0	7.887098694E-1	9.377100220E0	4.253105621E0	1.032671193E1
1.886909833E0	1.121318207E0	9.410630493E0	4.355343018E0	1.043006872E1
1.896881833E0	1.289568329E0	9.655670929E0	3.769012299E0	1.044511471E1
1.906853833E0	1.270108795E0	9.875413971E0	2.668201447E0	1.030806851E1
1.916824833E0	1.353186035E0	9.968220978E0	1.470541992E0	1.016656459E1
1.926796833E0	1.447190552E0	9.977501678E0	6.962022400E-1	1.010591895E1
